severity,host,finding,detail,source
low,marketdata-api-instaoptions.fyers.in,Missing security headers,"Content-Security-Policy, X-Frame-Options, X-Content-Type-Options, Referrer-Policy",builtin
low,marketsmith.fyers.in,Missing security headers,"Content-Security-Policy, X-Frame-Options, Referrer-Policy",builtin
low,meeting.fyers.in,Missing security headers,Referrer-Policy,builtin
low,myaccount.fyers.in,Missing security headers,"Content-Security-Policy, X-Frame-Options, Referrer-Policy",builtin
low,myapi.fyers.in,Missing security headers,"Content-Security-Policy, X-Frame-Options, Referrer-Policy",builtin
low,ofs.fyers.in,Missing security headers,"Content-Security-Policy, X-Frame-Options, Referrer-Policy",builtin
low,open-account.fyers.in,Missing security headers,"Content-Security-Policy, X-Frame-Options, Referrer-Policy",builtin
low,partner-dashboard.fyers.in,Missing security headers,"Content-Security-Policy, X-Frame-Options, Referrer-Policy",builtin
low,partners.fyers.in,Missing security headers,"Content-Security-Policy, X-Frame-Options, Referrer-Policy",builtin
low,people.fyers.in,Missing security headers,"Content-Security-Policy, Referrer-Policy",builtin
low,pledge.fyers.in,Missing security headers,"Content-Security-Policy, X-Frame-Options, Referrer-Policy",builtin
low,projects.fyers.in,Missing security headers,Referrer-Policy,builtin
low,public-docs.fyers.in,Missing security headers,"Content-Security-Policy, X-Frame-Options, Referrer-Policy",builtin
low,public.fyers.in,Missing security headers,"Content-Security-Policy, X-Frame-Options, Referrer-Policy",builtin
low,recruit.fyers.in,Missing security headers,"Content-Security-Policy, Referrer-Policy",builtin
low,savedcharts.fyers.in,Missing security headers,"Content-Security-Policy, X-Frame-Options, Referrer-Policy",builtin
low,signup.fyers.in,Missing security headers,"Content-Security-Policy, X-Frame-Options, Referrer-Policy",builtin
low,socket.fyers.in,Missing security headers,"Content-Security-Policy, X-Frame-Options, Referrer-Policy",builtin
low,status.fyers.in,Missing security headers,"Content-Security-Policy, X-Frame-Options",builtin
low,trade.fyers.in,Missing security headers,"X-Frame-Options, Referrer-Policy",builtin
low,verifiedpnldocs.fyers.in,Missing security headers,"Content-Security-Policy, X-Frame-Options, Referrer-Policy",builtin
low,workdrive.fyers.in,Missing security headers,Referrer-Policy,builtin
low,www.fyers.in,Missing security headers,"Content-Security-Policy, X-Frame-Options, Referrer-Policy",builtin
low,accounts.zoho.in,Exposed .DS_Store,https://accounts.zoho.in/signin?servicename=ZohoAssist&serviceurl=https%3A%2F%2Fassist.fyers.in%3A443%2Fapp/.DS_Store,builtin
low,accounts.zoho.in,Exposed .DS_Store,https://accounts.zoho.in/signin?serviceurl=https://cliq.fyers.in&servicename=ZohoChat&zsrc=fromproduct/.DS_Store,builtin
low,accounts.zoho.in,Exposed .DS_Store,https://accounts.zoho.in/signin?hide_signup=true&stop_mredirect=true&portal_id=60008074919&hide_secure=true&hide_gsignup=true&servicename=ZohoPulse&serviceurl=https%3A%2F%2Fconnect.fyers.in%2Fmyfeed/.DS_Store,builtin
low,accounts.zoho.in,Exposed .DS_Store,https://accounts.zoho.in/signin?servicename=null&serviceurl=https%3A%2F%2Fprojects.zoho.in/.DS_Store,builtin
low,accounts.zoho.in,Exposed .DS_Store,https://accounts.zoho.in/signin?servicename=TeamDrive&hide_gsignup=true&hide_signup=true&serviceurl=https%3A%2F%2Fworkdrive.zoho.in%2F/.DS_Store,builtin
low,fyers.in,Third-party script without Subresource Integrity,https://performance.radar.cloudflare.com/beacon.js,owasp
low,fyers.in,Third-party script without Subresource Integrity,https://performance.radar.cloudflare.com/beacon.js,owasp
low,myapi.fyers.in,Third-party script without Subresource Integrity,https://ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js,owasp
low,api-connect-docs.fyers.in,Third-party script without Subresource Integrity,https://performance.radar.cloudflare.com/beacon.js,owasp
low,api-t1.fyers.in,Third-party script without Subresource Integrity,https://performance.radar.cloudflare.com/beacon.js,owasp
low,assets.fyers.in,Third-party script without Subresource Integrity,https://performance.radar.cloudflare.com/beacon.js,owasp
low,fyers.in,Third-party script without Subresource Integrity,https://performance.radar.cloudflare.com/beacon.js,owasp
low,api-t1-cdn.fyers.in,Third-party script without Subresource Integrity,https://performance.radar.cloudflare.com/beacon.js,owasp
low,bo-login.fyers.in,Third-party script without Subresource Integrity,https://performance.radar.cloudflare.com/beacon.js,owasp
low,cdn.fyers.in,Third-party script without Subresource Integrity,https://performance.radar.cloudflare.com/beacon.js,owasp
low,charts.fyers.in,Third-party script without Subresource Integrity,https://performance.radar.cloudflare.com/beacon.js,owasp
low,clib.fyers.in,Third-party script without Subresource Integrity,https://performance.radar.cloudflare.com/beacon.js,owasp
low,fyers.in,Third-party script without Subresource Integrity,https://performance.radar.cloudflare.com/beacon.js,owasp
low,data.fyers.in,Third-party script without Subresource Integrity,https://performance.radar.cloudflare.com/beacon.js,owasp
